dc_tx_id,block_height,txn,gained_a,amount_a,token_a,gained_b,amount_b,token_b,shares
8980380b332130196ef158beeff32e409776b3d8e5d1d8ef5f2e992ab85f713a,2631082,1,0,-874669.89686990,DFI,0,-597752.92715947,DUSD,702874.05698355
ed53ab9d96fe824037e88eecff5189104b6a0cb782f62700d083d4fe9cac1aa1,2630957,1,-255.51858794,597752.92715947,DUSD,-0.00000001,874585.01369255,DFI,-702839.95250794
5423f87429f472387b7321364f8993a9c961fa755735c69b30cd83552a04e944,2630952,39,0,-874585.01369256,DFI,0,-598008.44574741,DUSD,702839.95250794
7dcd7e4525c36b5bdd0a00cf12980fd8c1fb73316ecb0f64b0ce849f21668bc3,2630726,1,-255.32886920,598008.44574741,DUSD,-0.00000001,874444.16960740,DFI,-702939.63165727
a57a35a6cde22cc1558fccede45f86dd86b3e8ddb506071156be095da95c8cef,2630725,12,0,-874444.16960741,DFI,0,-598263.77461661,DUSD,702939.63165727
d8a465e1567be3f1fb310182e77a2e9d8b2694b61dba9c5cbcf7566c5451e034,2630597,1,-255.49780494,598263.77461661,DUSD,-0.00000001,874398.22010019,DFI,-703077.27661245
309e6c331482d808e6e9950bbb19dc135659ade2b390f0c1bc953b2025fb79bd,2630592,8,0,-874398.22010020,DFI,0,-598519.27242155,DUSD,703077.27661245
2bf359a63fd5f57061adb1a85a534d3c5d4a8f828ca81787e582c42264088e76,2630489,2,-255.67266346,598519.27242155,DUSD,-0.00000001,874371.19693045,DFI,-703222.59626318
31319cbae13a624b7d2f87283aba2ff8260aef36f6ed912f1a3ba7311bf58b85,2630484,24,0,-874371.19693046,DFI,0,-598774.94508501,DUSD,703222.59626318
226071dc7f56800d6e6d4d29e47024ba3b79b2c95200e32904a0f6a0e1bcddc3,2630244,1,-127.94491668,598774.94508501,DUSD,186.68169751,873862.48646697,DFI,-703174.21337531
9961ed266def7d506d5b40deaa5b479c3961a8c4c0c1f76b8dc7aae6d06c7b81,2630240,1,0,-873675.80476946,DFI,0,-598902.89000169,DUSD,703174.21337531
757e649bad051d04d977fe2849d37bd0be98f17fe11e90bc6599a43014c4f109,2630139,1,-255.39873820,598902.89000169,DUSD,-0.00000001,877875.59230067,DFI,-704862.27910998
73d3b7fed6eed4257b4323a3dae354121a9061c45bdfb5c2fe8ec6d02ed67fe8,2630131,87,0,-877875.59230068,DFI,0,-599158.28873989,DUSD,704862.27910998
b196f7211ef293d9198040698c5bd5b99053b167d5c8432499cbf689878ed96a,2629802,1,-245.27935319,599158.28873989,DUSD,0.91106333,948027.19081047,DFI,-732646.57081418
dbb6f8202a25763a607fb2de929a831f60215f4c2a5d7df92fd37b7a1c5dc17f,2629800,42,0,-948026.27974714,DFI,0,-599403.56809308,DUSD,732646.57081418
c82c2996c2b992807bb56edc9860aeb1ce04fc2b533244e11416f0c134aea05d,2629571,2,-121.86204941,599403.56809308,DUSD,193.93891661,954126.79469662,DFI,-735156.53117251
d956d1469705db292b83774305b88c42876b9436ac3efd406f7b14390efdaf1f,2629567,1,0,-953932.85578001,DFI,0,-599525.43014249,DUSD,735156.53117251
16f22d4af3459f83584a73bd3c67200860bc3712e76f0c7a515ab045a174fa20,2629469,10,-246.27406108,599525.43014249,DUSD,-0.00000001,956094.07043340,DFI,-735988.84110317
60c850769961af28621b876c0fcf647e3e0f058c2514d66ff2e8af5378a62bb6,2629464,89,0,-956094.07043341,DFI,0,-599771.70420357,DUSD,735988.84110317
29eb0c3634ebcbf1e9b5a77e0e341f83f007d9d002bf20744f24ba3f312c99e3,2628897,1,-228.40128537,569785.27783463,DUSD,-0.00000001,931999.99999999,DFI,-708409.87166340
24155d72d822d88fdb156a771e65765a2734ae6ce1fa524f84fc98a705c006c2,2628891,6,0,-932000.00000000,DFI,0,-570013.67912000,DUSD,708409.87166340
